,R1_CB,R1_MC,R1_PA,cap,volt,mass,ptime,pre_volt,pre_peak,I_Max,charge_tot,I_Final,GYield,Yield,Material
158,0.0,0.0,0.0,150.0,209.0,238.0,272.0,225.0,100.0,359.5307,12.41262361,14.44463231,80.8080808,82.35294119999999,TCB
159,0.0,0.0,0.0,150.0,209.0,239.0,269.0,225.0,100.0,412.2635,11.69547698,14.00274857,76.76767679999999,57.3221757,TCB
160,0.0,0.0,0.0,150.0,211.0,200.0,270.0,270.0,90.0,432.5159,24.93122685,16.25890958,80.8080808,60.5,TCB
161,0.0,0.0,0.0,150.0,212.0,232.0,268.0,270.0,90.0,479.8989,14.62777083,20.39441309,82.8282828,75.862069,TCB
162,0.0,0.0,0.0,150.0,212.0,227.0,267.0,150.0,50.0,130.2581,16.38345318,122.9259943,47.4747475,70.9251101,TCB
163,0.0,0.0,0.0,150.0,209.0,231.0,273.0,225.0,199.0,539.8919,24.53748441,10.59415483,64.6464646,77.4891775,TCB
164,0.0,0.0,0.0,96.0,200.0,284.0,160.0,210.0,70.0,377.8726,10.76253013,17.76385092,65.2173913,56.9366197,TCB
165,0.0,0.0,0.0,132.0,220.0,320.0,700.0,240.0,120.0,584.9822,33.04437189,9.778785028,69.2307692,34.34375,TCB
166,0.0,0.0,0.0,150.0,175.0,276.0,340.0,240.0,80.0,237.6341,16.88104196,17.80966724,63.15789469999999,75.5797101,TCB
167,0.0,0.0,0.0,114.0,185.0,376.0,460.0,225.0,100.0,213.9426,8.149079917,103.0204627,10.6666667,15.8244681,TCB
168,0.0,0.0,0.0,78.0,180.0,265.0,110.0,60.0,60.0,185.2835,8.310964181,35.27585894,48.4848485,69.3207547,TCB
169,0.0,0.0,0.0,78.0,175.0,360.0,220.0,150.0,60.0,104.2738,10.95300034,20.56518301,53.48837210000001,79.8611111,TCB
170,0.0,0.0,0.0,96.0,160.0,321.0,430.0,210.0,70.0,216.9996,18.03051274,20.94745585,63.6363636,80.99688470000001,TCB
171,0.0,0.0,0.0,132.0,150.0,345.0,530.0,200.0,100.0,142.4859,20.532978,9.830294954,50.0,80.05797100000001,TCB
172,0.0,0.0,0.0,60.0,170.0,275.0,390.0,200.0,100.0,237.6341,24.09896935,15.93017189,47.1910112,57.0909091,TCB
173,0.0,0.0,0.0,60.0,180.0,294.0,70.0,210.0,90.0,263.2362,8.849149835,90.03049082,27.058823500000003,79.9319728,TCB
